Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Overweight or Obese (NCDRisC (2017)),Population (historical estimates),Continent
Pakistan,PAK,2013,2440.0,25.4,205337552.0,
Pakistan,PAK,2014,2429.0,26.0,208251632.0,
Paraguay,PRY,2013,2589.0,50.5,6005656.0,
Paraguay,PRY,2014,2770.0,51.3,6090727.0,
Peru,PER,2013,2700.0,60.8,30038810.0,
Peru,PER,2014,2738.0,61.5,30353956.0,
Portugal,PRT,2013,3477.0,49.1,10464537.0,
Portugal,PRT,2014,3377.0,49.6,10408379.0,
Romania,ROU,2013,3358.0,49.4,20066550.0,
Romania,ROU,2014,3417.0,49.5,19995836.0,
Sao Tome and Principe,STP,2013,2400.0,39.4,193765.0,
Sao Tome and Principe,STP,2014,2381.0,40.1,197511.0,
Senegal,SEN,2013,2456.0,34.6,13595571.0,
Senegal,SEN,2014,2438.0,35.3,13970314.0,
South Africa,ZAF,2013,3022.0,63.6,53873608.0,
South Africa,ZAF,2014,2976.0,64.1,54729556.0,
South America,,2013,3030.084736679191,,405147963.0,
South America,,2014,3083.066636022972,,409128901.0,
Spain,ESP,2013,3174.0,54.3,46603460.0,
Spain,ESP,2014,3163.0,54.6,46464548.0,
Taiwan,TWN,2013,2997.0,33.2,23330332.0,
Taiwan,TWN,2014,2960.0,33.4,23422504.0,
Tanzania,TZA,2013,2208.0,31.2,49253648.0,
Tanzania,TZA,2014,2339.0,32.1,50814552.0,
Thailand,THA,2013,2784.0,32.4,69578600.0,
Thailand,THA,2014,2771.0,33.1,69960944.0,
Turkey,TUR,2013,3706.0,68.0,76576120.0,
Turkey,TUR,2014,3659.0,68.4,78112064.0,
Uganda,UGA,2013,2130.0,27.6,35273568.0,
Uganda,UGA,2014,2127.0,28.5,36336544.0,
Ukraine,UKR,2013,3138.0,51.5,45307104.0,
Ukraine,UKR,2014,3145.0,51.5,45148072.0,
United Arab Emirates,ARE,2013,3280.0,72.3,8751853.0,
United Arab Emirates,ARE,2014,3398.0,72.4,8835957.0,
United Kingdom,GBR,2013,3424.0,58.0,64302296.0,
United Kingdom,GBR,2014,3376.0,58.5,64773504.0,
United States,USA,2013,3682.0,62.4,319375168.0,
United States,USA,2014,3717.0,62.9,322033952.0,
Uzbekistan,UZB,2013,2760.0,49.8,29963220.0,
Uzbekistan,UZB,2014,2964.0,50.7,30446542.0,
Vietnam,VNM,2013,2745.0,20.0,90267736.0,
Vietnam,VNM,2014,2853.0,20.7,91235504.0,
World,OWID_WRL,2013,2882.1041788372327,38.5,7250593280.0,
World,OWID_WRL,2014,2895.239696332302,39.0,7339013632.0,
Yemen,YEM,2013,2223.0,48.4,26984008.0,
Yemen,YEM,2014,2156.0,49.0,27753310.0,
Zimbabwe,ZWE,2013,2110.0,48.9,13555420.0,
Zimbabwe,ZWE,2014,1986.0,49.6,13855758.0,
