Entity,Code,Year,"Labor force participation rate for ages 15-24, female (%) (national estimate)",Population (historical estimates),Continent,"Labor force participation rate for ages 15-24, female (%) (national estimate).1",Year.1
Romania,ROU,2020,23.62,19442040.0,,23.62,2020.0
Romania,ROU,1980,,22125226.0,,23.62,2020.0
Rwanda,RWA,2020,38.7,13146367.0,,38.7,2020.0
Rwanda,RWA,1980,,5247537.0,,38.7,2020.0
South Africa,ZAF,1980,11.86,29463546.0,,19.06,2020.0
South Africa,ZAF,2020,19.06,58801928.0,,19.06,2020.0
South America,,1980,,241789097.0,,,
South America,,2020,,431530105.0,,,
Sri Lanka,LKA,1980,,14943644.0,,21.51,2019.0
Sri Lanka,LKA,2020,,21715076.0,,21.51,2019.0
Suriname,SUR,1980,12.86,375123.0,,28.29,2016.0
Suriname,SUR,2020,,607068.0,,28.29,2016.0
Thailand,THA,1980,74.97,45737756.0,,33.18,2020.0
Thailand,THA,2020,33.18,71475664.0,,33.18,2020.0
Trinidad and Tobago,TTO,1980,29.18,1127853.0,,35.44,2016.0
Trinidad and Tobago,TTO,2020,,1518142.0,,35.44,2016.0
Turkey,TUR,1980,50.74,44089068.0,,27.45,2020.0
Turkey,TUR,2020,27.45,84135432.0,,27.45,2020.0
Ukraine,UKR,2020,27.91,43909664.0,,27.91,2020.0
Ukraine,UKR,1980,,49973920.0,,27.91,2020.0
United Arab Emirates,ARE,2020,29.72,9287286.0,,29.72,2020.0
United Arab Emirates,ARE,1980,,1014058.0,,29.72,2020.0
United Kingdom,GBR,1980,,56326328.0,,55.67,2019.0
United Kingdom,GBR,2020,,67059472.0,,55.67,2019.0
United States,USA,1980,61.9,223140016.0,,53.21,2020.0
United States,USA,2020,53.21,335942016.0,,53.21,2020.0
Uruguay,URY,2020,38.39,3429087.0,,38.39,2020.0
Uruguay,URY,1980,,2953754.0,,38.39,2020.0
Vanuatu,VUT,1980,,118173.0,,27.72,2019.0
Vanuatu,VUT,2020,,311694.0,,27.72,2019.0
Venezuela,VEN,1980,,15210441.0,,30.24,2017.0
Venezuela,VEN,2020,,28490458.0,,30.24,2017.0
