Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized",Population (historical estimates),Continent,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized.1",Year.1
Indonesia,IDN,2019,55.955513,269582880.0,,55.955513,2019.0
Iran,IRN,1990,94.10615,55793628.0,,63.125427,2019.0
Iran,IRN,2019,63.125427,86564208.0,,63.125427,2019.0
Iraq,IRQ,1990,122.22233,17658384.0,,121.61964,2019.0
Iraq,IRQ,2019,121.61964,41563524.0,,121.61964,2019.0
Japan,JPN,1990,19.20766,123686320.0,,9.329786,2019.0
Japan,JPN,2019,9.329786,125791680.0,,9.329786,2019.0
Jordan,JOR,1990,95.07187,3480591.0,,54.999146,2019.0
Jordan,JOR,2019,54.999146,10698682.0,,54.999146,2019.0
Kazakhstan,KAZ,1990,65.97365,16866574.0,,67.08013,2019.0
Kazakhstan,KAZ,2019,67.08013,18754260.0,,67.08013,2019.0
Lebanon,LBN,1990,74.47801,3593705.0,,63.94267,2019.0
Lebanon,LBN,2019,63.94267,5781912.0,,63.94267,2019.0
Mexico,MEX,1990,47.618134,81720424.0,,33.079895,2019.0
Mexico,MEX,2019,33.079895,125085312.0,,33.079895,2019.0
Morocco,MAR,1990,50.531364,24570816.0,,97.39308,2019.0
Morocco,MAR,2019,97.39308,36304408.0,,97.39308,2019.0
Niger,NER,1990,20.614544,8370650.0,,23.496117,2019.0
Niger,NER,2019,23.496117,23443400.0,,23.496117,2019.0
North America,,1990,,421575397.0,,,
North America,,2019,,590497015.0,,,
Oceania,,1990,,26744211.0,,,
Oceania,,2019,,43278474.0,,,
Oman,OMN,1990,107.80614,1804528.0,,127.02209,2019.0
Oman,OMN,2019,127.02209,4602769.0,,127.02209,2019.0
Pakistan,PAK,1990,35.98852,115414072.0,,94.42075,2019.0
Pakistan,PAK,2019,94.42075,223293280.0,,94.42075,2019.0
Poland,POL,1990,90.28697,38064252.0,,38.739117,2019.0
Poland,POL,2019,38.739117,38493600.0,,38.739117,2019.0
Qatar,QAT,1990,192.76567,441685.0,,128.86061,2019.0
Qatar,QAT,2019,128.86061,2807242.0,,128.86061,2019.0
Russia,RUS,1990,71.486565,148005696.0,,31.80199,2019.0
Russia,RUS,2019,31.80199,145742288.0,,31.80199,2019.0
Saudi Arabia,SAU,1990,77.30974,16004768.0,,109.83766,2019.0
Saudi Arabia,SAU,2019,109.83766,35827364.0,,109.83766,2019.0
Serbia,SRB,1990,92.87539,7987530.0,,69.44981,2019.0
Serbia,SRB,2019,69.44981,7401056.0,,69.44981,2019.0
Singapore,SGP,1990,58.58431,3022218.0,,18.20713,2019.0
Singapore,SGP,2019,18.20713,5866408.0,,18.20713,2019.0
Slovakia,SVK,1990,99.58637,5261310.0,,38.313133,2019.0
Slovakia,SVK,2019,38.313133,5453932.0,,38.313133,2019.0
South Africa,ZAF,1990,52.172867,39877568.0,,59.93883,2019.0
South Africa,ZAF,2019,59.93883,58087060.0,,59.93883,2019.0
South America,,1990,,297146501.0,,,
South America,,2019,,428318218.0,,,
Sri Lanka,LKA,1990,31.436457,17204098.0,,32.017303,2019.0
Sri Lanka,LKA,2019,32.017303,21649664.0,,32.017303,2019.0
Syria,SYR,1990,111.51615,12409003.0,,99.26627,2019.0
Syria,SYR,2019,99.26627,20098252.0,,99.26627,2019.0
Tajikistan,TJK,1990,48.523277,5417862.0,,115.84625,2019.0
Tajikistan,TJK,2019,115.84625,9337008.0,,115.84625,2019.0
Turkey,TUR,1990,73.79698,54324140.0,,50.06995,2019.0
Turkey,TUR,2019,50.06995,83481688.0,,50.06995,2019.0
Ukraine,UKR,1990,82.38279,51589816.0,,56.722534,2019.0
Ukraine,UKR,2019,56.722534,44211100.0,,56.722534,2019.0
United Arab Emirates,ARE,1990,166.70634,1900160.0,,100.65204,2019.0
United Arab Emirates,ARE,2019,100.65204,9211660.0,,100.65204,2019.0
United States,USA,1990,29.560434,248083728.0,,8.487157,2019.0
United States,USA,2019,8.487157,334319680.0,,8.487157,2019.0
Uzbekistan,UZB,1990,76.937515,20579106.0,,176.44565,2019.0
Uzbekistan,UZB,2019,176.44565,32976946.0,,176.44565,2019.0
Venezuela,VEN,1990,47.93378,19750580.0,,44.15755,2019.0
Venezuela,VEN,2019,44.15755,28971686.0,,44.15755,2019.0
Vietnam,VNM,1990,24.363857,66912616.0,,44.81026,2019.0
Vietnam,VNM,2019,44.81026,95776712.0,,44.81026,2019.0
Yemen,YEM,1990,29.306948,13375127.0,,82.515,2019.0
Yemen,YEM,2019,82.515,31546694.0,,82.515,2019.0
