Entity,Code,Year,Prevalence of current tobacco use (% of adults),Continent,Prevalence of current tobacco use (% of adults).1,Year.1
Nigeria,NGA,2000,9.3,,3.9,2018.0
Nigeria,NGA,2018,3.9,,3.9,2018.0
Norway,NOR,2000,44.0,,17.1,2018.0
Norway,NOR,2018,17.1,,17.1,2018.0
Palau,PLW,2000,26.1,,17.9,2018.0
Palau,PLW,2018,17.9,,17.9,2018.0
Peru,PER,2000,32.9,,8.7,2018.0
Peru,PER,2018,8.7,,8.7,2018.0
Poland,POL,2000,39.6,,24.7,2018.0
Poland,POL,2018,24.7,,24.7,2018.0
Romania,ROU,2000,35.0,,28.4,2018.0
Romania,ROU,2018,28.4,,28.4,2018.0
Seychelles,SYC,2000,28.7,,20.6,2018.0
Seychelles,SYC,2018,20.6,,20.6,2018.0
Tanzania,TZA,2000,27.8,,9.2,2018.0
Tanzania,TZA,2018,9.2,,9.2,2018.0
Tuvalu,TUV,2000,48.8,,36.0,2018.0
Tuvalu,TUV,2018,36.0,,36.0,2018.0
Zambia,ZMB,2000,19.9,,14.6,2018.0
Zambia,ZMB,2018,14.6,,14.6,2018.0
