Entity,Code,Year,fuel_efficiency_per_km
Greece,GRC,2002,6.972071076
Greece,GRC,2004,7.024709342
Greece,GRC,2006,6.925986194
Greece,GRC,2008,6.751775689
Greece,GRC,2010,6.149181921
Greece,GRC,2012,5.058798353
Greece,GRC,2014,4.412534957
Greece,GRC,2016,4.354238931
Greece,GRC,2018,4.667935841
Greece,GRC,2019,4.95539153
Iceland,ISL,2016,4.983562651
Ireland,IRL,2001,6.965802582
Ireland,IRL,2002,6.895930331
Ireland,IRL,2004,6.887791582
Ireland,IRL,2006,6.73211846
Ireland,IRL,2008,6.43679336
Ireland,IRL,2010,5.311650115
Ireland,IRL,2012,4.982334023
Ireland,IRL,2014,4.691537619
Ireland,IRL,2016,4.484389693
Ireland,IRL,2018,4.639243733
Ireland,IRL,2019,4.797265719
Italy,ITA,2001,6.393353878
Italy,ITA,2002,6.281993594
Italy,ITA,2004,5.898438209
Italy,ITA,2006,5.881816744
Italy,ITA,2008,5.848614313
Italy,ITA,2010,5.686570531
Italy,ITA,2012,5.351401619
Italy,ITA,2014,4.92497561
Italy,ITA,2016,4.63754995
Italy,ITA,2018,4.863461794
Italy,ITA,2019,5.135058607
Luxembourg,LUX,2001,6.892099444
Luxembourg,LUX,2002,6.77538328
Luxembourg,LUX,2004,6.594123081
Luxembourg,LUX,2006,6.490661039
Luxembourg,LUX,2008,6.21284185
Luxembourg,LUX,2010,5.790051056
Luxembourg,LUX,2012,5.465647436
Luxembourg,LUX,2014,5.183089278
Luxembourg,LUX,2016,5.076911175
Luxembourg,LUX,2018,5.406342176
Luxembourg,LUX,2019,5.653128804
Netherlands,NLD,2001,7.09681128
Netherlands,NLD,2002,7.059793039
Netherlands,NLD,2004,7.05168303
Netherlands,NLD,2006,6.781443681
Netherlands,NLD,2008,6.450030503
Netherlands,NLD,2010,5.747924501
Netherlands,NLD,2012,5.06825145
Netherlands,NLD,2014,4.581143308
Netherlands,NLD,2016,4.677826161
Netherlands,NLD,2018,4.881682228
Netherlands,NLD,2019,5.039635701
Norway,NOR,2014,5.060980945
Norway,NOR,2016,4.532093928
Norway,NOR,2018,4.297721286
Norway,NOR,2019,4.531802583
Portugal,PRT,2001,6.398644759
Portugal,PRT,2002,6.181519152
Portugal,PRT,2004,5.770949009
Portugal,PRT,2006,5.635426992
Portugal,PRT,2008,5.443187515
Portugal,PRT,2010,5.14456599
Portugal,PRT,2012,4.78010046
Portugal,PRT,2014,4.362123519
Portugal,PRT,2016,4.213302103
Portugal,PRT,2018,4.392486523
Portugal,PRT,2019,5.151340238
Spain,ESP,2001,6.506388054
Spain,ESP,2002,6.387318358
Spain,ESP,2004,6.16183618
Spain,ESP,2006,6.099291789
Spain,ESP,2008,5.968482885
Spain,ESP,2010,5.572074462
Spain,ESP,2012,5.21893119
Spain,ESP,2014,4.816408422
Spain,ESP,2016,4.655710211
Spain,ESP,2018,4.992341547
Spain,ESP,2019,5.344576989
Sweden,SWE,2001,8.313366982
Sweden,SWE,2002,8.290367833
Sweden,SWE,2004,8.127102541
Sweden,SWE,2006,7.768858548
Sweden,SWE,2008,7.083524191
Sweden,SWE,2010,6.257957487
Sweden,SWE,2012,5.536366551
Sweden,SWE,2014,5.305975011
Sweden,SWE,2016,5.056297484
Sweden,SWE,2018,5.142894892
Sweden,SWE,2019,5.596942432
Switzerland,CHE,2014,5.872267138
Switzerland,CHE,2016,5.537477712
Switzerland,CHE,2018,5.870490945
Switzerland,CHE,2019,6.298404386
Turkey,TUR,2014,4.832362892
Turkey,TUR,2016,4.675726247
Turkey,TUR,2018,4.863914795
Turkey,TUR,2019,4.932585254
United Kingdom,GBR,2001,7.311373061
United Kingdom,GBR,2002,7.123100673
United Kingdom,GBR,2004,6.979842547
United Kingdom,GBR,2006,6.72043857
United Kingdom,GBR,2008,6.359192055
United Kingdom,GBR,2010,5.916441874
United Kingdom,GBR,2012,5.431916207
United Kingdom,GBR,2014,5.081061895
United Kingdom,GBR,2016,4.914517519
United Kingdom,GBR,2018,5.320188151
United Kingdom,GBR,2019,5.545940035
