Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Combined - percentage of female adults aged between 25 and 64 years with no education,Population (historical estimates),Continent
North America,,2015,,3.5030353,570726015.0,
North America,,2020,,2.6530342,594263186.0,
Norway,NOR,2015,1.7273,7.3,5190357.0,Europe
Norway,NOR,2020,1.4988,8.0,5379836.0,
Oceania,,2015,,10.339274,40403644.0,
Oceania,,2020,,10.279933,43933757.0,
Pakistan,PAK,2015,3.9041,61.6,210969296.0,Asia
Pakistan,PAK,2020,3.5548,52.9,227196736.0,
Papua New Guinea,PNG,2015,3.5584,43.6,8682172.0,Oceania
Papua New Guinea,PNG,2020,3.2743,41.0,9749641.0,
Paraguay,PRY,2015,2.6454,2.9,6177954.0,South America
Paraguay,PRY,2020,2.4965,2.0,6618700.0,
Philippines,PHL,2015,2.9507,2.5,103031360.0,Asia
Philippines,PHL,2020,2.7774,2.1,112190984.0,
Rwanda,RWA,2015,4.0805,50.2,11642963.0,Africa
Rwanda,RWA,2020,3.8733,43.9,13146367.0,
Sierra Leone,SLE,2015,4.5481,66.7,7314779.0,Africa
Sierra Leone,SLE,2020,4.0805,59.2,8233973.0,
South America,,2015,,4.9248157,413134461.0,
South America,,2020,,3.5202,431530105.0,
South Korea,KOR,2015,1.2028,0.6,50994396.0,Asia
South Korea,KOR,2020,0.8872,0.3,51844688.0,
Sudan,SDN,2015,4.8981,59.5,38171172.0,Africa
Sudan,SDN,2020,4.5419,57.3,44440484.0,
Tanzania,TZA,2015,5.0876,22.8,52542824.0,Africa
Tanzania,TZA,2020,4.7948,16.0,61704520.0,
United States,USA,2015,1.8424,0.2,324607776.0,North America
United States,USA,2020,1.6428,0.2,335942016.0,
Vietnam,VNM,2015,1.9513,9.9,92191400.0,Asia
Vietnam,VNM,2020,1.9545,10.2,96648680.0,
World,OWID_WRL,2015,2.524,20.859182,7426597376.0,
World,OWID_WRL,2020,2.3485,17.953035,7840952832.0,
Yemen,YEM,2015,4.3224,77.4,28516552.0,Asia
Yemen,YEM,2020,3.8861,67.1,32284044.0,
Zimbabwe,ZWE,2015,3.849,5.4,14154937.0,Africa
Zimbabwe,ZWE,2020,3.5451,3.1,15669663.0,
