Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Saint Kitts and Nevis,KNA,2017,2744.0,29333.393,47811.0,
Saint Kitts and Nevis,KNA,2018,2582.0,29950.494,47787.0,
Senegal,SEN,2017,2556.0,3259.1926,15157793.0,
Senegal,SEN,2018,2545.0,3368.8586,15574910.0,
Slovenia,SVN,2017,3192.0,36507.555,2098396.0,
Slovenia,SVN,2018,3191.0,37995.715,2105931.0,
South America,,2017,3058.3156974765247,,420982650.0,
South America,,2018,3084.314112886859,,424740741.0,
Suriname,SUR,2017,2706.0,17753.06,587566.0,
Suriname,SUR,2018,2698.0,18438.346,593729.0,
Sweden,SWE,2017,3196.0,51947.953,10058191.0,
Sweden,SWE,2018,3184.0,52349.293,10162300.0,
Thailand,THA,2017,2809.0,17008.04,70898208.0,
Thailand,THA,2018,2804.0,17669.045,71127808.0,
Tunisia,TUN,2017,3457.0,10874.947,11811441.0,
Tunisia,TUN,2018,3450.0,11042.961,11933040.0,
Turkey,TUR,2017,3737.0,27582.832,82089824.0,
Turkey,TUR,2018,3711.0,28157.979,82809304.0,
Uganda,UGA,2017,2022.0,2128.397,40127096.0,
Uganda,UGA,2018,1981.0,2186.9072,41515400.0,
United Kingdom,GBR,2017,3393.0,46372.387,66064808.0,
United Kingdom,GBR,2018,3344.0,46878.137,66432996.0,
United States,USA,2017,3778.0,59914.777,329791232.0,
United States,USA,2018,3782.0,61355.65,332140032.0,
Vietnam,VNM,2017,2961.0,9050.688,94033048.0,
Vietnam,VNM,2018,3025.0,9636.013,94914328.0,
Zambia,ZMB,2017,1991.0,3395.4797,17298056.0,
Zambia,ZMB,2018,2002.0,3425.949,17835898.0,
