Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Population (historical estimates),Continent,"Maternal mortality ratio (modeled estimate, per 100,000 live births).1",Year.1
Indonesia,IDN,2017,177.0,264498848.0,,177.0,2017.0
Ireland,IRL,2000,7.0,3768954.0,,5.0,2017.0
Ireland,IRL,2017,5.0,4771860.0,,5.0,2017.0
Italy,ITA,2000,4.0,56966400.0,,2.0,2017.0
Italy,ITA,2017,2.0,60004024.0,,2.0,2017.0
Kazakhstan,KAZ,2000,61.0,15236256.0,,10.0,2017.0
Kazakhstan,KAZ,2017,10.0,18314822.0,,10.0,2017.0
Low-income countries,,2000,845.0,390930582.0,,453.0,2017.0
Low-income countries,,2017,453.0,626187698.0,,453.0,2017.0
Mongolia,MNG,2000,155.0,2450988.0,,45.0,2017.0
Mongolia,MNG,2017,45.0,3096033.0,,45.0,2017.0
Morocco,MAR,2000,188.0,28554420.0,,70.0,2017.0
Morocco,MAR,2017,70.0,35528116.0,,70.0,2017.0
Nigeria,NGA,2000,1200.0,122851984.0,,917.0,2017.0
Nigeria,NGA,2017,917.0,193495904.0,,917.0,2017.0
North America,,2000,,486364446.0,,,
North America,,2017,,581258143.0,,,
Oceania,,2000,,31223133.0,,,
Oceania,,2017,,41817267.0,,,
Peru,PER,2000,144.0,26654440.0,,88.0,2017.0
Peru,PER,2017,88.0,31605488.0,,88.0,2017.0
Philippines,PHL,2000,160.0,77958224.0,,121.0,2017.0
Philippines,PHL,2017,121.0,106738496.0,,121.0,2017.0
Poland,POL,2000,7.0,38504432.0,,2.0,2017.0
Poland,POL,2017,2.0,38532816.0,,2.0,2017.0
Russia,RUS,2000,56.0,146844848.0,,17.0,2017.0
Russia,RUS,2017,17.0,145452544.0,,17.0,2017.0
Rwanda,RWA,2000,1160.0,8109994.0,,248.0,2017.0
Rwanda,RWA,2017,248.0,12230343.0,,248.0,2017.0
Saudi Arabia,SAU,2000,24.0,21547398.0,,17.0,2017.0
Saudi Arabia,SAU,2017,17.0,34193120.0,,17.0,2017.0
South America,,2000,,349634344.0,,,
South America,,2017,,420982650.0,,,
South Sudan,SSD,2000,1730.0,6114443.0,,1150.0,2017.0
South Sudan,SSD,2017,1150.0,10658230.0,,1150.0,2017.0
Spain,ESP,2000,5.0,40741652.0,,4.0,2017.0
Spain,ESP,2017,4.0,46584168.0,,4.0,2017.0
Sudan,SDN,2000,667.0,26298778.0,,295.0,2017.0
Sudan,SDN,2017,295.0,40679820.0,,295.0,2017.0
Syria,SYR,2000,26.0,16307659.0,,31.0,2017.0
Syria,SYR,2017,31.0,18983370.0,,31.0,2017.0
Tanzania,TZA,2000,854.0,34463704.0,,524.0,2017.0
Tanzania,TZA,2017,524.0,56267040.0,,524.0,2017.0
Thailand,THA,2000,43.0,63066604.0,,37.0,2017.0
Thailand,THA,2017,37.0,70898208.0,,37.0,2017.0
Turkey,TUR,2000,42.0,64113548.0,,17.0,2017.0
Turkey,TUR,2017,17.0,82089824.0,,17.0,2017.0
Turkmenistan,TKM,2000,29.0,4569135.0,,7.0,2017.0
Turkmenistan,TKM,2017,7.0,5968388.0,,7.0,2017.0
Upper-middle-income countries,,2000,67.0,2191949480.0,,41.0,2017.0
Upper-middle-income countries,,2017,41.0,2500616723.0,,41.0,2017.0
Venezuela,VEN,2000,119.0,24427732.0,,125.0,2017.0
Venezuela,VEN,2017,125.0,30563430.0,,125.0,2017.0
World,OWID_WRL,2000,342.0,6148898816.0,,211.0,2017.0
World,OWID_WRL,2017,211.0,7599822336.0,,211.0,2017.0
Zimbabwe,ZWE,2000,579.0,11834679.0,,458.0,2017.0
Zimbabwe,ZWE,2017,458.0,14751101.0,,458.0,2017.0
