Entity,Code,Year,Global Hunger Index in 2017 (Global Hunger Index 2017),Population growth 1992-2015 (UN Population Division),Population (historical estimates),Continent
Philippines,PHL,2017,20.0,56.30519168,106738496.0,
Philippines,PHL,1992,,,64543524.0,
Philippines,PHL,2015,,,103031360.0,Asia
Romania,ROU,2017,5.2,-14.9603493,19698852.0,
Romania,ROU,1992,,,22800964.0,
Romania,ROU,2015,,,19906078.0,Europe
Russia,RUS,2017,6.2,-2.986846535,145452544.0,
Russia,RUS,1992,,,148725600.0,
Russia,RUS,2015,,,144668384.0,Europe
Rwanda,RWA,2017,31.4,73.52747771,12230343.0,
Rwanda,RWA,1992,,,7657202.0,
Rwanda,RWA,2015,,,11642963.0,Africa
Saudi Arabia,SAU,2017,7.1,81.58380264,34193120.0,
Saudi Arabia,SAU,1992,,,17281352.0,
Saudi Arabia,SAU,2015,,,32749838.0,Asia
Senegal,SEN,2017,18.4,86.5193889,15157793.0,
Senegal,SEN,1992,,,7974512.0,
Senegal,SEN,2015,,,14356191.0,Africa
Sierra Leone,SLE,2017,38.5,67.085437,7677570.0,
Sierra Leone,SLE,1992,,,4301575.0,
Sierra Leone,SLE,2015,,,7314779.0,Africa
South Africa,ZAF,2017,13.2,40.47486717,56641208.0,
South Africa,ZAF,1992,,,41760756.0,
South Africa,ZAF,2015,,,55876504.0,Africa
South America,,2017,,35.33467063,420982650.0,
South America,,1992,,,307967492.0,
South America,,2015,,,413134461.0,
Sri Lanka,LKA,2017,25.5,16.76041378,21506816.0,
Sri Lanka,LKA,1992,,,17624462.0,
Sri Lanka,LKA,2015,,,21336692.0,Asia
Sudan,SDN,2017,35.5,78.08836597,40679820.0,
Sudan,SDN,1992,,,21780058.0,
Sudan,SDN,2015,,,38171172.0,Africa
Tajikistan,TJK,2017,28.7,55.34596189,8925529.0,
Tajikistan,TJK,1992,,,5656216.0,
Tajikistan,TJK,2015,,,8524066.0,Asia
Tanzania,TZA,2017,28.8,97.94529093,56267040.0,
Tanzania,TZA,1992,,,27580728.0,
Tanzania,TZA,2015,,,52542824.0,Africa
Thailand,THA,2017,10.6,18.70697889,70898208.0,
Thailand,THA,1992,,,56939020.0,
Thailand,THA,2015,,,70294408.0,Asia
Turkey,TUR,2017,2.5,40.40008986,82089824.0,
Turkey,TUR,1992,,,56302040.0,
Turkey,TUR,2015,,,79646176.0,Asia
Uganda,UGA,2017,32.0,115.2206779,40127096.0,
Uganda,UGA,1992,,,18801968.0,
Uganda,UGA,2015,,,37477356.0,Africa
Ukraine,UKR,2017,2.5,-13.14676314,44657260.0,
Ukraine,UKR,1992,,,51785152.0,
Ukraine,UKR,2015,,,44982568.0,Europe
Vietnam,VNM,2017,16.0,31.54924597,94033048.0,
Vietnam,VNM,1992,,,69788752.0,
Vietnam,VNM,2015,,,92191400.0,Asia
Yemen,YEM,2017,36.1,101.9889711,30034386.0,
Yemen,YEM,1992,,,14433772.0,
Yemen,YEM,2015,,,28516552.0,Asia
