Entity,Code,Year,Share of the daily caloric intake that comes from carbohydrates,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Sudan,SDN,2020,63.688297,3874.8003,44440484.0,
Sudan,SDN,2011,,5047.334,34419628.0,
Tajikistan,TJK,2011,66.82691,2481.572,7784820.0,
Tajikistan,TJK,2020,61.36736,3651.9421,9543211.0,
Tanzania,TZA,2011,69.45919,2064.7107,46416032.0,
Tanzania,TZA,2020,69.02673,2551.2063,61704520.0,
Togo,TGO,2011,70.7636,1645.7479,6748675.0,
Togo,TGO,2020,67.663216,2066.9707,8442583.0,
United Arab Emirates,ARE,2011,57.115948,57815.17,8575210.0,
United Arab Emirates,ARE,2020,52.192787,67668.29,9287286.0,
United States,USA,2011,48.19649,54960.906,313876608.0,
United States,USA,2020,45.748848,60167.855,335942016.0,
Upper-middle-income countries,,2011,60.97804,12849.577,2382503938.0,
Upper-middle-income countries,,2020,58.879005,17017.123,2541463877.0,
Uzbekistan,UZB,2011,63.806458,5185.6846,29057456.0,
Uzbekistan,UZB,2020,61.267483,7344.22,33526662.0,
Vanuatu,VUT,2011,57.420284,2994.3853,251309.0,
Vanuatu,VUT,2020,57.46532,2836.8135,311694.0,
Vietnam,VNM,2011,65.196304,6658.667,88349104.0,
Vietnam,VNM,2020,64.06123,10450.622,96648680.0,
World,OWID_WRL,2011,63.48711,14230.719,7073125376.0,
World,OWID_WRL,2020,61.87626,16175.776,7840952832.0,
Zimbabwe,ZWE,2011,57.349327,2033.1814,13025789.0,
Zimbabwe,ZWE,2020,58.95139,1990.3195,15669663.0,
