Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Population,Continent,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate).1,Year.1
South Korea,KOR,1990,11.77,44120040.0,,19.54,2019.0
South Korea,KOR,2019,19.54,51803832.0,,19.54,2019.0
Sri Lanka,LKA,1990,43.37,17204098.0,,19.19,2019.0
Sri Lanka,LKA,2019,19.19,21649664.0,,19.19,2019.0
Taiwan,TWN,1990,10.16,20586176.0,,13.37,2019.0
Taiwan,TWN,2019,13.37,23777742.0,,13.37,2019.0
Thailand,THA,1990,12.65,55228408.0,,8.63,2019.0
Thailand,THA,2019,8.63,71307768.0,,8.63,2019.0
Tuvalu,TUV,1990,21.45,9201.0,,16.16,2019.0
Tuvalu,TUV,2019,16.16,10983.0,,16.16,2019.0
Ukraine,UKR,1990,19.46,51589816.0,,26.34,2019.0
Ukraine,UKR,2019,26.34,44211100.0,,26.34,2019.0
United States,USA,1990,12.1,248083728.0,,11.67,2019.0
United States,USA,2019,11.67,334319680.0,,11.67,2019.0
Uruguay,URY,1990,10.66,3117011.0,,16.52,2019.0
Uruguay,URY,2019,16.52,3428412.0,,16.52,2019.0
Uzbekistan,UZB,1990,8.71,20579106.0,,11.34,2019.0
Uzbekistan,UZB,2019,11.34,32976946.0,,11.34,2019.0
Venezuela,VEN,1990,6.69,19750580.0,,7.93,2019.0
Venezuela,VEN,2019,7.93,28971686.0,,7.93,2019.0
Zambia,ZMB,1990,14.62,7686405.0,,13.83,2019.0
Zambia,ZMB,2019,13.83,18380478.0,,13.83,2019.0
Zimbabwe,ZWE,1990,17.67,10113899.0,,23.41,2019.0
Zimbabwe,ZWE,2019,23.41,15354606.0,,23.41,2019.0
