Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Cote d'Ivoire,CIV,2017,58.5,4750.9365,24848024.0,
Cote d'Ivoire,CIV,2021,58.6,5325.0303,27478250.0,
Czechia,CZE,2017,79.0,38824.887,10531315.0,
Czechia,CZE,2021,77.7,40740.992,10510748.0,
Democratic Republic of Congo,COD,2017,59.4,1023.53986,84283272.0,
Democratic Republic of Congo,COD,2021,59.2,1073.6433,95894120.0,
Dominican Republic,DOM,2017,73.1,16524.533,10647247.0,
Dominican Republic,DOM,2021,72.6,18626.078,11117873.0,
Eswatini,SWZ,2017,57.9,8213.921,1151397.0,
Eswatini,SWZ,2021,57.1,8856.829,1192273.0,
Ethiopia,ETH,2017,64.8,1987.9688,108197944.0,
Ethiopia,ETH,2021,65.0,2319.0684,120283024.0,
Europe,,2017,,,745657647.0,
Europe,,2021,,,746417727.0,
Fiji,FJI,2017,67.8,12822.014,919022.0,
Fiji,FJI,2021,67.1,10359.204,924615.0,
France,FRA,2017,82.5,44577.066,64144092.0,
France,FRA,2021,82.5,44993.125,64531448.0,
Gabon,GAB,2017,66.2,14478.13,2140225.0,
Gabon,GAB,2021,65.8,13813.723,2341185.0,
Germany,DEU,2017,80.9,53071.457,82624368.0,
Germany,DEU,2021,80.6,53179.656,83408560.0,
Ghana,GHA,2017,64.0,4929.568,30222266.0,
Ghana,GHA,2021,63.8,5435.238,32833036.0,
Greece,GRC,2017,80.9,28604.861,10692230.0,
Greece,GRC,2021,80.1,29548.04,10445368.0,
Guyana,GUY,2017,68.7,12193.622,763265.0,
Guyana,GUY,2021,65.7,21925.188,804571.0,
India,IND,2017,70.5,6112.0664,1354195712.0,
India,IND,2021,67.2,6592.042,1407563904.0,
Indonesia,IDN,2017,69.9,10941.921,264498848.0,
Indonesia,IDN,2021,67.6,11858.146,273753184.0,
Japan,JPN,2017,84.2,41444.215,126662464.0,
Japan,JPN,2021,84.8,40784.383,124612528.0,
Kenya,KEN,2017,62.5,4312.9087,48948140.0,
Kenya,KEN,2021,61.4,4743.4863,53005616.0,
Kiribati,KIR,2017,66.6,1962.3196,120378.0,
Kiribati,KIR,2021,67.4,1937.0894,128883.0,
Lebanon,LBN,2017,79.7,17808.076,6109255.0,
Lebanon,LBN,2021,75.0,12977.202,5592626.0,
Lesotho,LSO,2017,53.1,2571.694,2170622.0,
Lesotho,LSO,2021,53.1,2295.2322,2281464.0,
Madagascar,MDG,2017,65.1,1548.1564,26169540.0,
Madagascar,MDG,2021,64.5,1463.6288,28915652.0,
Malawi,MWI,2017,63.0,1454.7775,17881172.0,
Malawi,MWI,2021,62.9,1491.1339,19889742.0,
Mexico,MEX,2017,74.1,20032.408,122839256.0,
Mexico,MEX,2021,70.2,19086.105,126705136.0,
Namibia,NAM,2017,62.3,10335.268,2364540.0,
Namibia,NAM,2021,59.3,9137.797,2530150.0,
Nauru,NRU,2017,63.0,11746.627,11708.0,
Nauru,NRU,2021,63.6,11947.395,12533.0,
Nepal,NPL,2017,68.9,3495.5288,28183424.0,
Nepal,NPL,2021,68.4,3831.9485,30034988.0,
Niger,NER,2017,62.2,1155.9735,21737924.0,
Niger,NER,2021,61.6,1186.5768,25252722.0,
Nigeria,NGA,2017,52.3,5120.0054,193495904.0,
Nigeria,NGA,2021,52.7,4922.6323,213401328.0,
North America,,2017,,,581258143.0,
North America,,2021,,,597123384.0,
Oceania,,2017,,,41817267.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2017,66.3,4891.7197,216379648.0,
Pakistan,PAK,2021,66.1,5232.1426,231402112.0,
Paraguay,PRY,2017,73.6,13604.175,6355406.0,
Paraguay,PRY,2021,70.3,13687.655,6703802.0,
Philippines,PHL,2017,71.5,8001.7563,106738496.0,
Philippines,PHL,2021,69.3,8094.693,113880336.0,
Qatar,QAT,2017,80.7,92177.59,2711764.0,
Qatar,QAT,2021,79.3,92862.35,2688239.0,
Romania,ROU,2017,76.0,26948.158,19698852.0,
Romania,ROU,2021,74.2,30776.93,19328558.0,
Russia,RUS,2017,73.4,25926.443,145452544.0,
Russia,RUS,2021,69.4,27960.102,145102752.0,
Senegal,SEN,2017,67.8,3259.1926,15157793.0,
Senegal,SEN,2021,67.1,3495.4036,16876726.0,
Serbia,SRB,2017,76.2,16614.014,7464882.0,
Serbia,SRB,2021,74.2,19831.297,7296771.0,
Seychelles,SYC,2017,73.8,28116.71,101828.0,
Seychelles,SYC,2021,71.3,28760.516,106486.0,
Singapore,SGP,2017,83.2,95310.336,5764489.0,
Singapore,SGP,2021,82.8,106032.23,5941063.0,
Solomon Islands,SLB,2017,70.0,2625.089,643641.0,
Solomon Islands,SLB,2021,70.3,2406.1135,707855.0,
Somalia,SOM,2017,55.7,1059.1439,14864224.0,
Somalia,SOM,2021,55.3,1136.736,17065588.0,
South Africa,ZAF,2017,65.4,13950.453,56641208.0,
South Africa,ZAF,2021,62.3,13311.926,59392256.0,
South America,,2017,,,420982650.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2017,65.4,4613.95,40679820.0,
Sudan,SDN,2021,65.3,3701.069,45657204.0,
Switzerland,CHE,2017,83.4,69103.57,8451688.0,
Switzerland,CHE,2021,84.0,71032.84,8691409.0,
Tajikistan,TJK,2017,69.9,3236.4395,8925529.0,
Tajikistan,TJK,2021,71.6,3903.32,9750078.0,
Togo,TGO,2017,60.2,1972.6971,7852799.0,
Togo,TGO,2021,61.6,2124.8042,8644829.0,
Tonga,TON,2017,70.7,6256.9814,105430.0,
Tonga,TON,2021,71.0,6142.857,106034.0,
Turkey,TUR,2017,77.1,27582.832,82089824.0,
Turkey,TUR,2021,76.0,31466.56,84775408.0,
Uganda,UGA,2017,62.1,2128.397,40127096.0,
Uganda,UGA,2021,62.7,2246.414,45853780.0,
Ukraine,UKR,2017,74.7,11860.561,44657260.0,
Ukraine,UKR,2021,71.6,12943.614,43531424.0,
United States,USA,2017,78.8,59914.777,329791232.0,
United States,USA,2021,77.2,63669.71,336997632.0,
Uzbekistan,UZB,2017,71.0,6840.71,31945680.0,
Uzbekistan,UZB,2021,70.9,7734.8325,34081452.0,
Vietnam,VNM,2017,74.0,9050.688,94033048.0,
Vietnam,VNM,2021,73.6,10628.219,97468024.0,
