Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: Age-standardized","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),World Bank's income classification
Myanmar,MMR,2019,306.46182,4829.5366,53040212.0,Lower-middle-income countries
Nepal,NPL,2019,205.14545,3922.0813,28832500.0,Lower-middle-income countries
Netherlands,NLD,2019,79.5521,56784.04,17363260.0,High-income countries
Nigeria,NGA,2019,187.3178,5076.368,203304496.0,Lower-middle-income countries
Oman,OMN,2019,482.2132,33814.113,4602769.0,High-income countries
Pakistan,PAK,2019,396.36957,5157.5464,223293280.0,Lower-middle-income countries
Papua New Guinea,PNG,2019,333.26672,3947.8655,9542492.0,Lower-middle-income countries
Peru,PER,2019,76.909515,12735.168,32824864.0,Upper-middle-income countries
Philippines,PHL,2019,381.165,8731.861,110380800.0,Lower-middle-income countries
Qatar,QAT,2019,329.2976,90840.43,2807242.0,High-income countries
Romania,ROU,2019,314.9393,30006.336,19524212.0,High-income countries
Russia,RUS,2019,374.1337,27254.574,145742288.0,Upper-middle-income countries
Rwanda,RWA,2019,216.42586,2191.4016,12835029.0,Low-income countries
Saudi Arabia,SAU,2019,388.39618,44954.992,35827364.0,High-income countries
Senegal,SEN,2019,236.66243,3430.484,16000783.0,Lower-middle-income countries
Serbia,SRB,2019,320.4128,18310.08,7401056.0,Upper-middle-income countries
Slovakia,SVK,2019,158.54488,31973.46,5453932.0,High-income countries
Slovenia,SVN,2019,127.417366,39034.234,2112905.0,High-income countries
Somalia,SOM,2019,379.50922,1138.2859,15981312.0,Low-income countries
Sri Lanka,LKA,2019,143.18834,13639.021,21649664.0,Lower-middle-income countries
Sudan,SDN,2019,500.92517,4133.1304,43232092.0,Low-income countries
Tajikistan,TJK,2019,590.3294,3575.2798,9337008.0,Low-income countries
Tanzania,TZA,2019,170.7573,2577.6658,59872584.0,Lower-middle-income countries
Thailand,THA,2019,96.87513,18003.672,71307768.0,Upper-middle-income countries
Turkey,TUR,2019,201.28114,28150.059,83481688.0,Upper-middle-income countries
Turkmenistan,TKM,2019,450.21912,14992.604,6158424.0,Upper-middle-income countries
United States,USA,2019,129.80482,62478.254,334319680.0,High-income countries
Upper-middle-income countries,,2019,,17273.334,2530546049.0,
Uzbekistan,UZB,2019,484.5063,7348.147,32976946.0,Lower-middle-income countries
Vietnam,VNM,2019,286.5987,10252.005,95776712.0,Lower-middle-income countries
Zambia,ZMB,2019,368.57126,3372.359,18380478.0,Lower-middle-income countries
